Country Name,Country Code,EU,Euro,OECD,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Poland,POL,Y,N,Y,6170.249054,5910.397797,6178.156953,6544.288668,7022.968936,7666.666497,8257.723619,8933.514082,9487.370197,10040.89838,10676.76299,11124.52793,11804.26626,12275.79567,13342.61456,13896.79338,15132.07225,16782.43901,18303.35292,19254.09228,21088.61633,22827.69814,23745.6978,24567.50617,25475.50469,26862.05252,28322.10698,30160.49423,32987.72558,35165.20488,
Sweden,SWE,Y,N,Y,20375.73454,20681.93524,20785.90372,20718.16223,21836.43369,23050.3653,23875.2585,24797.18123,25886.79123,27471.55827,29631.16089,29940.54433,30926.5056,31782.07625,33830.55489,34244.46502,37679.69511,40855.49992,42158.2957,40309.11254,42256.16212,44608.58026,45432.43197,46312.39238,47184.66913,49103.13343,50430.25282,52113.83434,55243.37015,56632.13984,
United Kingdom,GBR,Y,N,Y,16991.5821,17318.79117,17736.48964,18564.2215,19639.80445,20504.4803,21826.04006,23034.32528,23636.4453,24414.68532,26415.00866,27757.21237,29068.59386,30263.92356,31967.24262,32668.22632,34756.5823,35591.18425,36660.19256,35022.09554,36371.39299,37161.55413,38311.8972,39970.99607,41265.93809,42506.72206,44166.97639,45955.32701,48690.78517,49931.60476,
Cyprus,CYP,Y,Y,N,13323.85439,13521.70912,14732.6467,14824.91913,15706.59805,17064.73832,17288.67269,17774.64035,18758.48335,19662.69258,21296.57684,22871.58828,23556.24012,24253.16334,25921.35166,27763.27611,29979.159,32847.4741,34830.16612,33917.4867,33445.90649,33313.57915,31834.67636,30375.10632,30042.82711,31722.21621,35388.83253,37766.90166,39737.32519,41254.40459,
Malta,MLT,Y,Y,N,10091.13243,10790.32792,11435.3494,12109.26627,12945.12581,13957.18141,14625.24226,15485.90721,16219.76476,16937.70313,18363.48832,18518.54616,19599.84587,20907.96331,21527.47121,22306.68105,23289.81433,25028.76045,26523.47087,26669.15685,28744.70029,28973.1956,30243.9878,32295.87873,34344.11163,37455.07042,39695.39915,42539.73635,45534.44132,47578.19699,
Austria,AUT,Y,Y,Y,19425.40464,20567.11866,21241.15934,21679.4508,22587.18592,23639.81746,24500.22718,25417.84917,26673.94471,27606.48303,29388.77747,29715.64085,31178.69333,32111.12443,33745.84765,35013.71404,37611.80425,39382.79706,41316.22518,40948.22216,42041.48668,44452.73275,46457.34578,47922.04912,48799.71547,49865.90394,52684.01711,54342.94786,58850.76011,60418.01061,
Belgium,BEL,Y,Y,Y,18642.89392,19553.85806,20223.37968,20423.46243,21466.44544,22392.27232,22688.78553,23724.01023,24367.92397,25440.84119,27796.64607,28800.51705,30282.28865,30901.00319,32036.50123,33177.89095,35212.02356,36746.55137,37883.33194,37777.32783,39870.49487,40942.37271,42290.76205,43671.11959,44929.68559,46200.90445,48597.39998,50596.6428,54330.28719,56348.51368,
Estonia,EST,Y,Y,Y,,,,5790.902324,5943.13895,6456.686154,6866.358865,7966.227968,8438.09029,8419.571977,9437.806548,10326.32701,11670.36556,13123.83781,14522.47346,16624.91175,19307.45019,22164.74852,22830.08963,20608.89579,21811.5119,24777.46893,26190.55266,27642.58479,29135.70512,29389.25532,31577.06885,33964.31415,37473.25478,39986.2371,
Finland,FIN,Y,Y,Y,18102.29572,17516.93988,17228.77333,17435.65368,18434.08702,19539.53346,20038.48081,21786.9099,23575.99493,24767.28067,26796.36034,27807.70811,28605.12232,29021.56705,31175.88347,32051.794,34409.02749,37792.41438,40083.69727,38000.24563,38986.21596,40916.83858,40873.09533,41493.14165,41757.40219,42497.70498,44934.44821,47644.42838,51318.34184,53171.58509,
France,FRA,Y,Y,Y,17608.91897,18293.5537,18915.41602,19158.63896,19954.80481,20727.42665,21306.25061,22235.97614,23358.49979,24307.49879,26101.9689,27501.93462,28523.88573,28143.63809,29036.38944,30498.57929,32425.12133,34079.93234,35095.26296,34703.59574,35930.31329,37440.63863,37679.12178,39523.85395,40144.02683,40849.99738,42924.61363,44755.32528,48136.20687,50992.96117,
Germany,DEU,Y,Y,Y,19415.9836,20944.79846,21668.67876,21821.47242,22741.49691,23507.69054,24019.34354,24564.12907,25344.04412,26291.21108,27210.87226,28380.81155,29178.63747,29877.32637,31307.86159,31794.09601,34114.62124,36243.46043,37802.38743,36842.9162,38982.4263,42541.53109,43359.61483,44993.89275,47011.55109,47609.781,50579.68393,53121.98768,56689.09573,57530.30303,
Greece,GRC,Y,Y,Y,13279.47266,13985.25195,14294.49251,14314.57745,14838.17248,15395.31134,16110.2042,17149.94666,18033.07233,18464.73208,19524.68022,20963.84272,22615.93561,23871.96999,25439.35443,25577.52411,28510.94254,29284.67396,30856.01184,30381.49031,28172.14519,26141.31955,25284.46409,26097.87186,26838.45517,26895.32565,27826.15094,29233.79663,31467.07296,32506.35897,
Ireland,IRL,Y,Y,Y,13726.32349,14381.42538,15097.58013,15792.28742,16990.79377,18921.09226,20454.97703,22620.04726,25058.85003,26995.26141,30186.78331,32546.52794,35212.09466,36240.58374,38672.4007,40437.77463,44191.7292,46748.15835,44283.73004,41643.80884,43331.53689,44855.32467,46256.56894,47897.2918,51067.97661,69037.53869,71928.96096,78051.521,86800.57742,89683.63836,
Italy,ITA,Y,Y,Y,18592.62596,19503.58893,20100.8018,20389.11021,21268.10469,22340.5589,23002.28446,23867.52857,25020.06428,25602.38947,27084.19182,28045.86078,28736.57711,29166.83245,29530.21531,30130.64446,32410.17803,34099.7863,35523.27131,34628.39721,35185.29289,36598.01497,36486.29679,36314.6971,36194.87392,36899.38521,39926.95466,41713.90002,44471.87067,45722.56967,
Latvia,LVA,Y,Y,Y,,,,,,5501.053505,5788.711353,6478.932592,7060.886441,7397.610508,8033.305131,9036.579703,10068.68266,11028.41245,12239.67495,13877.6633,15799.45103,18185.44724,19519.62985,16975.8847,17656.51205,19879.20273,21407.51973,22812.91509,23803.8094,24961.35468,26710.1028,28741.47519,31771.44117,33020.79652,
Lithuania,LTU,Y,Y,Y,,,,,,5916.114205,6369.852968,7067.09388,7762.225843,7820.717972,8449.565431,9440.15402,10480.72101,12055.23072,13019.57473,14510.53009,16461.79074,19071.44024,20721.0132,18130.05571,20112.09781,22884.82495,24703.68582,26721.57967,28184.47233,28834.42768,30925.17085,33869.74153,37493.47619,40016.32583,
Luxembourg,LUX,Y,Y,Y,29639.00019,32846.98728,33755.49341,35526.67231,37162.2001,39601.24892,41294.86017,42835.67866,44395.42433,50627.92776,55365.29306,55895.61695,58771.50927,60043.96158,64056.87114,68220.06448,77928.01121,83960.98025,86693.89512,82321.87407,85685.785,92005.01684,91622.17742,95590.5387,101297.5757,103722.9908,110660.8669,112666.7694,120325.9212,124590.5451,
Netherlands,NLD,Y,Y,Y,19128.77414,20098.98672,20750.2582,21359.63281,22326.70509,23389.32663,24455.25494,26007.97994,27707.84045,29268.5361,31884.68942,33194.52307,34447.20532,34114.41754,35780.10663,37625.56171,40958.91895,43885.83135,46420.20168,44589.71915,45078.31814,46599.02103,47272.10302,49241.51784,49233.2154,50288.59139,52288.41508,55264.57036,59728.33052,61285.03221,
Portugal,PRT,Y,Y,Y,11751.48677,12708.84366,13150.30065,13170.69401,13545.22779,14371.67689,14884.97044,15783.2073,16686.38374,17718.15157,18884.88624,19533.35731,20356.6473,20829.59956,21460.02078,22725.27749,24649.71938,25701.89458,26665.8373,26478.36897,27282.75084,26769.51189,26438.0163,27936.03966,28742.44038,29660.89607,31607.75424,33150.20997,36034.18302,37918.44686,
Slovakia,SVK,Y,Y,Y,,,7158.798341,7452.928727,8052.667148,8676.50836,9384.344175,10082.6203,10622.59672,10714.17713,11381.51446,12391.34544,13312.20331,14166.49593,15213.72519,16639.39412,18888.75649,21196.61958,23725.85776,23097.56599,25209.34706,26082.75847,26967.12536,28002.49741,28996.86679,29919.65967,29659.37178,30189.39713,32553.40725,33515.88726,
Slovenia,SVN,Y,Y,Y,12349.82671,11623.77234,11255.63931,11878.17855,12792.95274,13594.71372,14273.13744,15277.48283,16055.4185,17083.25172,18009.061,18956.3919,20241.52568,21090.62162,22742.08967,23852.64304,25686.02923,27536.68347,29604.29147,27557.99551,27848.13279,28931.38332,29042.82027,29973.69935,30870.02367,31628.24718,33936.04406,36622.19529,40143.77394,42431.19816,
Spain,ESP,Y,Y,Y,13652.55034,14436.8003,14830.20639,14947.27291,15556.03374,16248.29926,16938.03115,17906.51817,19095.84982,19954.29022,21593.649,22959.09947,24371.59885,25020.30821,26121.97457,27606.93405,30679.12202,32430.12246,33263.2724,32116.00447,31706.8774,31867.97324,31720.12,32434.0032,33525.74063,34903.12748,37286.21343,39655.15021,42005.25335,43495.94441,
